S.N.,Open,High,Low,Close,Change,Per Change (%),Turnover,Date
189,"2,098.59","2,098.59","2,073.98","2,076.49",-18.76,-0.89,"4,055,737,884.32",2024-06-18
190,"2,116.03","2,116.03","2,090.32","2,095.25",-17.04,-0.80,"5,472,253,551.85",2024-06-16
191,"2,125.31","2,126.61","2,106.65","2,112.29",-9.32,-0.43,"6,443,029,208.11",2024-06-13
192,"2,117.06","2,133.73","2,116.40","2,121.62",6.37,0.30,"5,894,089,245.13",2024-06-12
193,"2,099.77","2,115.24","2,087.16","2,115.24",33.15,1.59,"5,555,361,739.06",2024-06-11
194,"2,088.14","2,088.77","2,072.33","2,082.09",8.90,0.42,"5,490,609,782.28",2024-06-10
195,"2,093.71","2,093.71","2,069.01","2,073.19",-4.59,-0.22,"5,189,079,522.43",2024-06-09
196,"2,080.55","2,088.61","2,073.58","2,077.78",-1.93,-0.09,"4,388,278,720.37",2024-06-06
197,"2,087.73","2,091.47","2,072.47","2,079.71",-5.58,-0.26,"3,992,976,492.79",2024-06-05
198,"2,086.91","2,092.28","2,078.19","2,085.30",6.22,0.29,"4,084,715,877.40",2024-06-04
199,"2,087.80","2,095.67","2,073.29","2,079.07",-3.97,-0.19,"4,004,070,243.60",2024-06-03
200,"2,072.97","2,085.87","2,068.19","2,083.04",13.51,0.65,"4,311,015,629.95",2024-06-02
201,"2,091.02","2,099.87","2,065.68","2,069.53",-19.89,-0.95,"4,217,494,195.64",2024-05-30
202,"2,133.72","2,152.85","2,086.73","2,089.42",-23.81,-1.12,"4,575,063,274.38",2024-05-29
203,"2,111.67","2,124.31","2,097.07","2,113.27",3.93,0.18,"3,893,764,143.93",2024-05-27
204,"2,135.22","2,141.25","2,106.44","2,109.34",-22.14,-1.03,"4,441,538,471.69",2024-05-26
205,"2,116.71","2,140.02","2,109.24","2,131.49",15.54,0.73,"5,687,680,912.80",2024-05-22
206,"2,095.56","2,118.26","2,081.11","2,115.94",23.94,1.14,"5,206,208,111.56",2024-05-21
207,"2,069.88","2,119.89","2,069.88","2,092.00",27.54,1.33,"5,854,354,212.19",2024-05-20
208,"2,044.81","2,068.91","2,028.15","2,064.45",45.69,2.26,"5,251,024,786.63",2024-05-19
209,"2,029.10","2,029.10","2,009.56","2,018.76",0.79,0.03,"4,233,816,403.70",2024-05-16
210,"2,030.87","2,048.23","2,013.53","2,017.97",-9.54,-0.47,"3,708,430,055.16",2024-05-15
211,"2,000.66","2,027.51","1,999.56","2,027.51",28.62,1.43,"4,088,853,664.80",2024-05-14
212,"1,979.68","2,000.14","1,970.64","1,998.89",24.39,1.23,"3,408,608,157.91",2024-05-13
213,"1,973.78","1,981.57","1,962.21","1,974.50",8.26,0.42,"3,155,142,168.43",2024-05-12
214,"1,963.45","1,970.35","1,955.27","1,966.23",5.63,0.28,"3,121,286,362.59",2024-05-09
215,"1,961.27","1,967.92","1,954.39","1,960.60",-0.21,-0.01,"2,547,030,825.49",2024-05-08
216,"1,959.91","1,970.44","1,955.22","1,960.81",2.06,0.10,"2,140,502,621.77",2024-05-07
217,"1,980.22","1,980.22","1,952.96","1,958.75",-15.62,-0.79,"2,891,319,979.87",2024-05-06
218,"1,998.44","1,998.52","1,970.23","1,974.37",-24.58,-1.23,"3,795,748,296.38",2024-05-05
219,"2,025.78","2,025.78","1,995.84","1,998.96",-7.31,-0.36,"4,133,362,726.23",2024-05-02
220,"1,991.10","2,016.57","1,979.36","2,006.28",25.93,1.30,"4,800,044,601.66",2024-04-30
221,"1,990.31","1,990.31","1,974.93","1,980.34",0.07,0.00,"2,959,458,501.43",2024-04-29
222,"1,973.53","1,981.31","1,965.18","1,980.27",14.33,0.72,"2,682,586,955.82",2024-04-28
223,"1,971.36","1,974.58","1,960.92","1,965.93",-3.24,-0.16,"2,366,975,594.11",2024-04-25
224,"1,969.41","1,979.40","1,963.36","1,969.17",0.15,0.00,"2,536,431,998.49",2024-04-24
225,"1,984.08","1,992.55","1,964.60","1,969.02",-15.41,-0.77,"2,058,305,185.18",2024-04-22
226,"1,972.92","1,984.43","1,953.37","1,984.43",12.29,0.62,"2,259,959,456.88",2024-04-21
227,"1,992.37","1,992.37","1,967.45","1,972.14",-19.56,-0.98,"2,093,612,792.77",2024-04-18
228,"2,004.96","2,004.96","1,988.46","1,991.71",-14.81,-0.73,"2,103,019,218.57",2024-04-16
229,"2,022.31","2,026.83","2,002.51","2,006.52",-16.82,-0.83,"2,797,577,432.68",2024-04-15
230,"2,025.70","2,031.86","2,018.21","2,023.35",-2.35,-0.11,"3,063,771,798.12",2024-04-14
231,"2,038.10","2,045.20","2,016.75","2,025.30",-10.71,-0.52,"3,485,660,640.32",2024-04-10
